Area,Total
中西區 - 中環,11077
中西區 - 半山東,15464
中西區 - 衛城,19279
中西區 - 山頂,19202
中西區 - 大學,18548
中西區 - 觀龍,15570
中西區 - 堅摩,16030
中西區 - 西環,14650
中西區 - 寶翠,20187
中西區 - 石塘咀,16125
中西區 - 西營盤,13600
中西區 - 上環,14830
中西區 - 東華,12320
中西區 - 正街,14521
中西區 - 水街,14550
灣仔區 - 軒尼詩,11220
灣仔區 - 愛群,12439
灣仔區 - 鵝頸,11992
灣仔區 - 銅鑼灣,13050
灣仔區 - 維園,13521
灣仔區 - 天后,14527
灣仔區 - 大坑,11425
灣仔區 - 渣甸山,14459
灣仔區 - 樂活,12958
灣仔區 - 跑馬地,13248
灣仔區 - 司徒拔道,14245
灣仔區 - 修頓,13294
灣仔區 - 大佛口,10317
東區 - 太古城西,17365
東區 - 太古城東,18008
東區 - 鯉景灣,20189
東區 - 西灣河,18771
東區 - 愛秩序灣,17925
東區 - 筲箕灣,13442
東區 - 阿公岩,18858
東區 - 杏花邨,18397
東區 - 翠灣,11801
東區 - 欣藍,15801
東區 - 小西灣,12447
東區 - 景怡,14608
東區 - 環翠,14521
東區 - 翡翠,14323
東區 - 柏架山,12348
東區 - 寶馬山,16171
東區 - 炮台山,15464
東區 - 城市花園,15212
東區 - 和富,18697
東區 - 堡壘,14489
東區 - 錦屏,15812
東區 - 丹拿,16669
東區 - 健康村,14512
東區 - 鰂魚涌,11198
東區 - 南豐,13342
東區 - 康怡,14215
東區 - 康山,13083
東區 - 興東,16972
東區 - 下耀東,15027
東區 - 上耀東,13159
東區 - 興民,13602
東區 - 樂康,11995
東區 - 翠德,12740
東區 - 漁灣,16169
東區 - 佳曉,12271
南區 - 香港仔,19459
南區 - 鴨脷洲邨,12089
南區 - 鴨脷洲北,11897
南區 - 利東一,12307
南區 - 利東二,14043
南區 - 海怡東,14444
南區 - 海怡西,14947
南區 - 華貴,13309
南區 - 華富南,12411
南區 - 華富北,13864
南區 - 薄扶林,19775
南區 - 置富,15599
南區 - 田灣,16811
南區 - 石漁,17621
南區 - 黃竹坑,16316
南區 - 海灣,17703
南區 - 赤柱及石澳,20683
深水埗區 - 寶麗,17262
深水埗區 - 長沙灣,14966
深水埗區 - 南昌北,16888
深水埗區 - 石硤尾,18078
深水埗區 - 南昌東,21187
深水埗區 - 南昌南,19024
深水埗區 - 南昌中,17681
深水埗區 - 南昌西,18936
深水埗區 - 富昌,21213
深水埗區 - 麗閣,13795
深水埗區 - 幸福,21689
深水埗區 - 碧匯,24113
深水埗區 - 荔枝角中,19164
深水埗區 - 荔枝角南,16196
深水埗區 - 美孚南,16748
深水埗區 - 美孚中,13294
深水埗區 - 美孚北,15948
深水埗區 - 荔枝角北,15545
深水埗區 - 元州,18005
深水埗區 - 蘇屋,18956
深水埗區 - 李鄭屋,12420
深水埗區 - 龍坪及上白田,13597
深水埗區 - 下白田,13301
深水埗區 - 又一村,14059
深水埗區 - 南山、大坑東及大坑西,19025
九龍城區 - 馬頭圍,20185
九龍城區 - 宋皇臺,19078
九龍城區 - 馬坑涌,19631
九龍城區 - 馬頭角,14397
九龍城區 - 樂民,14977
九龍城區 - 常樂,22059
九龍城區 - 何文田,19830
九龍城區 - 嘉道理,17422
九龍城區 - 太子,15481
九龍城區 - 九龍塘,18849
九龍城區 - 龍城,14390
九龍城區 - 啟德北,12844
九龍城區 - 啟德東,12569
九龍城區 - 啟德中及南,17139
九龍城區 - 海心,15725
九龍城區 - 土瓜灣北,10386
九龍城區 - 土瓜灣南,10404
九龍城區 - 鶴園海逸,18091
九龍城區 - 黃埔東,18287
九龍城區 - 黃埔西,20847
九龍城區 - 紅磡灣,18224
九龍城區 - 紅磡,11515
九龍城區 - 家維,19847
九龍城區 - 愛民,15326
九龍城區 - 愛俊,13131
黃大仙區 - 龍趣,15459
黃大仙區 - 龍下,15897
黃大仙區 - 龍上,20102
黃大仙區 - 鳳凰,15004
黃大仙區 - 鳳德,14456
黃大仙區 - 龍星,18282
黃大仙區 - 新蒲崗,18199
黃大仙區 - 東頭,20966
黃大仙區 - 東美,15205
黃大仙區 - 樂富,14170
黃大仙區 - 橫頭磡,16936
黃大仙區 - 天強,13258
黃大仙區 - 翠竹及鵬程,15961
黃大仙區 - 竹園南,14349
黃大仙區 - 竹園北,14296
黃大仙區 - 慈雲西,18747
黃大仙區 - 正愛,18666
黃大仙區 - 正安,19336
黃大仙區 - 慈雲東,18495
黃大仙區 - 瓊富,20531
黃大仙區 - 彩雲東,13327
黃大仙區 - 彩雲南,12309
黃大仙區 - 彩雲西,12769
黃大仙區 - 池彩,15309
黃大仙區 - 彩虹,14773
觀塘區 - 觀塘中心,16766
觀塘區 - 九龍灣,13200
觀塘區 - 啟業,20038
觀塘區 - 麗晶,14617
觀塘區 - 坪石,15412
觀塘區 - 彩德,14553
觀塘區 - 佐敦谷,20619
觀塘區 - 順天,18254
觀塘區 - 雙順,17457
觀塘區 - 安利,17570
觀塘區 - 觀塘安泰,20385
觀塘區 - 秀茂坪北,18673
觀塘區 - 秀茂坪中,17898
觀塘區 - 安達,19737
觀塘區 - 秀茂坪南,17647
觀塘區 - 寶達,17104
觀塘區 - 廣德,18201
觀塘區 - 興田,15455
觀塘區 - 藍田,18666
觀塘區 - 平田,19046
觀塘區 - 栢雅,12367
觀塘區 - 俊翔,14682
觀塘區 - 油塘東,12904
觀塘區 - 油翠,16434
觀塘區 - 油麗,13751
觀塘區 - 油塘西,21851
觀塘區 - 麗港城,22718
觀塘區 - 景田,21058
觀塘區 - 翠屏,18683
觀塘區 - 曉麗,16691
觀塘區 - 寶樂,13585
觀塘區 - 月華,13414
觀塘區 - 協康,15927
觀塘區 - 樂華南,12491
觀塘區 - 樂華北,12690
觀塘區 - 康樂,15585
觀塘區 - 定安,15779
觀塘區 - 牛頭角上邨,16007
觀塘區 - 牛頭角下邨,18576
觀塘區 - 淘大,16675
油尖旺區 - 尖沙咀西,11515
油尖旺區 - 九龍站,15627
油尖旺區 - 佐敦西,15528
油尖旺區 - 油麻地南,17750
油尖旺區 - 富榮,16172
油尖旺區 - 旺角西,15691
油尖旺區 - 富柏,18266
油尖旺區 - 奧運,19373
油尖旺區 - 櫻桃,14818
油尖旺區 - 大角咀南,14275
油尖旺區 - 大角咀北,19526
油尖旺區 - 大南,19040
油尖旺區 - 旺角北,16915
油尖旺區 - 旺角東,14235
油尖旺區 - 旺角南,16126
油尖旺區 - 油麻地北,11894
油尖旺區 - 尖東及京士柏,14845
油尖旺區 - 佐敦北,14633
油尖旺區 - 佐敦南,11376
油尖旺區 - 尖沙咀中,13042
葵青區 - 葵興,12836
葵青區 - 葵聯,13112
葵青區 - 葵盛東邨,17514
葵青區 - 上大窩口,13990
葵青區 - 下大窩口,13261
葵青區 - 葵涌邨南,20042
葵青區 - 葵涌邨北,17538
葵青區 - 石蔭,19009
葵青區 - 大白田西,15961
葵青區 - 大白田東,15892
葵青區 - 安蔭,16285
葵青區 - 石籬北,12735
葵青區 - 石籬南,19053
葵青區 - 葵芳,18855
葵青區 - 興芳,14055
葵青區 - 華麗,16182
葵青區 - 荔華,13758
葵青區 - 祖堯,14762
葵青區 - 荔景,13658
葵青區 - 葵盛西邨,17719
葵青區 - 安灝,18393
葵青區 - 偉盈,17985
葵青區 - 青衣邨,15134
葵青區 - 翠怡,19789
葵青區 - 長青,19934
葵青區 - 長康,13880
葵青區 - 盛康,14861
葵青區 - 青衣南,18789
葵青區 - 長亨,12913
葵青區 - 青發,16417
葵青區 - 長安,11486
荃灣區 - 德華,15341
荃灣區 - 楊屋道,16236
荃灣區 - 荃灣南,22710
荃灣區 - 海濱,18527
荃灣區 - 荃灣西,23563
荃灣區 - 祈德尊,16796
荃灣區 - 荃灣中心,14733
荃灣區 - 愉景,17325
荃灣區 - 福來,13490
荃灣區 - 綠楊,14154
荃灣區 - 馬灣,14409
荃灣區 - 荃灣郊區,18658
荃灣區 - 汀深,17009
荃灣區 - 麗濤,18694
荃灣區 - 荃威,18233
荃灣區 - 象石,13514
荃灣區 - 石圍角,12198
荃灣區 - 梨木樹西,15261
荃灣區 - 梨木樹東,19243
屯門區 - 屯門市中心,20420
屯門區 - 兆置,20247
屯門區 - 安定,15445
屯門區 - 兆翠,18403
屯門區 - 友愛南,14379
屯門區 - 友愛北,14350
屯門區 - 翠興,18492
屯門區 - 山景,15467
屯門區 - 景興,15191
屯門區 - 興澤,15125
屯門區 - 新墟,19398
屯門區 - 掃管笏,14475
屯門區 - 三聖,16423
屯門區 - 恒福,14540
屯門區 - 悅湖,12513
屯門區 - 兆禧,12206
屯門區 - 湖景,13070
屯門區 - 蝴蝶,15488
屯門區 - 富新,18409
屯門區 - 樂翠,15051
屯門區 - 龍門,16997
屯門區 - 新景,12747
屯門區 - 良景,12064
屯門區 - 田景,14017
屯門區 - 寶田,15805
屯門區 - 建生,16135
屯門區 - 兆康,14401
屯門區 - 欣田,16779
屯門區 - 屯門鄉郊,27142
屯門區 - 富泰,20182
屯門區 - 景峰,21518
元朗區 - 豐年,18092
元朗區 - 元朗中心,15069
元朗區 - 鳳翔,15974
元朗區 - 元龍,13995
元朗區 - 十八鄉中,23343
元朗區 - 水邊,18834
元朗區 - 南屏,14106
元朗區 - 北朗,12720
元朗區 - 元朗東頭,13928
元朗區 - 十八鄉北,14081
元朗區 - 十八鄉東,16262
元朗區 - 十八鄉西,24089
元朗區 - 屏山南,18279
元朗區 - 洪福,11851
元朗區 - 廈村,21060
元朗區 - 屏山中,16850
元朗區 - 盛欣,14300
元朗區 - 天盛,11306
元朗區 - 天耀,12939
元朗區 - 耀祐,13688
元朗區 - 慈祐,13670
元朗區 - 嘉湖南,17631
元朗區 - 瑞愛,17323
元朗區 - 瑞華,14518
元朗區 - 頌華,14981
元朗區 - 頌栢,15715
元朗區 - 嘉湖北,22771
元朗區 - 悅恩,18418
元朗區 - 晴景,19055
元朗區 - 富恩,19008
元朗區 - 逸澤,17878
元朗區 - 天恒,21125
元朗區 - 宏逸,20059
元朗區 - 屏山北,14902
元朗區 - 錦綉花園,20268
元朗區 - 新田,17759
元朗區 - 錦田,21876
元朗區 - 八鄉北,17543
元朗區 - 八鄉南,22814
北區 - 聯和墟,19640
北區 - 粉嶺市,13835
北區 - 祥華,15721
北區 - 華都,18058
北區 - 華明,14380
北區 - 欣盛,20198
北區 - 粉嶺南,14534
北區 - 盛福,13575
北區 - 清河,18505
北區 - 御太,17954
北區 - 上水鄉郊,20514
北區 - 彩園,16615
北區 - 石湖墟,22112
北區 - 天平西,12365
北區 - 鳳翠,19145
北區 - 沙打,16178
北區 - 天平東,15775
北區 - 皇后山,20527
大埔區 - 大埔墟,18515
大埔區 - 頌汀,13725
大埔區 - 大埔中,13139
大埔區 - 大元,13760
大埔區 - 富亨,13840
大埔區 - 怡富,14030
大埔區 - 富明新,12628
大埔區 - 廣福及寶湖,12752
大埔區 - 宏福,26893
大埔區 - 大埔滘,20441
大埔區 - 運頭塘,14589
大埔區 - 新富,15539
大埔區 - 林村谷,20780
大埔區 - 寶雅,16763
大埔區 - 太和,12752
大埔區 - 舊墟及太湖,18452
大埔區 - 康樂園,20389
大埔區 - 船灣,22465
大埔區 - 西貢北,15018
沙田區 - 沙田市中心,18833
沙田區 - 瀝源,15728
沙田區 - 禾輋邨,17572
沙田區 - 第一城,15407
沙田區 - 愉城,14944
沙田區 - 王屋,16194
沙田區 - 沙角,15740
沙田區 - 博康,15817
沙田區 - 水泉澳,19719
沙田區 - 乙泉,20143
沙田區 - 秦豐,15011
沙田區 - 新田圍,16628
沙田區 - 翠田,14635
沙田區 - 顯嘉,12252
沙田區 - 下城門,18378
沙田區 - 雲城,20005
沙田區 - 徑口,18707
沙田區 - 田心,13952
沙田區 - 翠嘉,17376
沙田區 - 大圍,19924
沙田區 - 松田,15504
沙田區 - 穗禾,23765
沙田區 - 火炭,22127
沙田區 - 駿馬,14492
沙田區 - 海嵐,14343
沙田區 - 頌安,15264
沙田區 - 錦濤,18699
沙田區 - 馬鞍山市中心,17782
沙田區 - 烏溪沙,23511
沙田區 - 利安,15621
沙田區 - 富龍,16243
沙田區 - 錦英,16691
沙田區 - 耀安,15994
沙田區 - 恆安,18622
沙田區 - 大水坑,18198
沙田區 - 鞍泰,13192
沙田區 - 愉欣,18760
沙田區 - 帝怡,16718
沙田區 - 碧湖,16368
沙田區 - 廣康,12231
沙田區 - 廣源,11716
西貢區 - 西貢市中心,12173
西貢區 - 白沙灣,16829
西貢區 - 西貢離島,13707
西貢區 - 坑口東,16447
西貢區 - 坑口西,20082
西貢區 - 彩健,18380
西貢區 - 健明,15773
西貢區 - 都善,15295
西貢區 - 維景,14342
西貢區 - 海晉,23777
西貢區 - 寶怡,14765
西貢區 - 富君,18938
西貢區 - 澳唐,18046
西貢區 - 尚德,17063
西貢區 - 廣明,16585
西貢區 - 康景,12545
西貢區 - 翠林,13588
西貢區 - 寶林,14084
西貢區 - 欣英,18481
西貢區 - 慧茵,13849
西貢區 - 運亨,13898
西貢區 - 景林,15419
西貢區 - 厚德,17611
西貢區 - 富藍,16665
西貢區 - 德明,17997
西貢區 - 南安,17097
西貢區 - 軍寶,13467
西貢區 - 環保北,18682
西貢區 - 環保南,33452
離島區 - 大嶼山,23607
離島區 - 滿逸,25628
離島區 - 逸東邨北,23933
離島區 - 東涌南,21091
離島區 - 東涌中,21366
離島區 - 東涌北,17546
離島區 - 愉景灣,19336
離島區 - 坪洲及喜靈洲,6282
離島區 - 南丫及蒲台,6724
離島區 - 長洲,19769
